Achievements Name,実績日本語名,国家タグ,難易度,DLC,達成条件,日本語Wiki補足説明,英語Wiki補足説明,英語Wikiリンク

Treading the Narrow Path,狭い道を歩む,HOL,Hard,MtG,オランダで、ドイツに降伏せず、ゾイデル海の事業を継続し、ヨーロッパ大陸の州を一つも喪失せずに1945年を迎える。,注：州の支配権を失うとは、その州の勝利ポイントの過半数を失うことを意味します。達成条件を満たしたまま、少数の州を失うことは可能です。,,https://hoi4.paradoxwikis.com/Treading_the_Narrow_Path

Putting the Raid on the Medway to Shame,メドウェイ川襲撃なんて目じゃない,HOL,Hard,MtG,オランダで、イギリスの主力艦（空母・戦艦・巡洋戦艦・重巡洋艦）を0にする。,メドウェイ川襲撃は、1667年に第二次英蘭戦争でオランダがイギリスに勝利した戦い。,おそらく、すべての主力艦を追い詰めるよりも、イギリスを完全に併合する方が簡単だろう。これは実績解除の条件にもカウントされるからだ。,

Bevrijding,べヴレイディンフ,HOL,Easy,MtG,オランダで、政府を東インド諸島に移した後、再びオランダを解放する。,オランダ語で「解放」の意であるが、ドイツの占領からのベネルクス3国の解放を指す固有名詞として広く使われる。,"歴史モードでオランダとしてプレイし、「バタビアで戦争を継続」の分岐を進めましょう。ヨーロッパ領の防衛は意味がありません（「バタビアで戦争を継続」には降伏が条件となるため）、アジアの領土を強化してください。ドイツが敗北すると本国支配権が回復し、「解放」を達成して実績を獲得できます。
注：達成には「大戦の戦慄に震える傍観者」の精神状態を解除しておく必要があるため、「平和主義への戦争」をできるだけ早く完了させておいてください。",

Mi Casa es tu Casa,くつろいでって！,MEX,Easy,MtG,メキシコで、どこかの国の亡命政府を受け入れる。,直訳すると「私の家はあなたの家」、気軽にくつろいでくださいというスペイン語のフレーズ。,"亡命政府を受け入れるには、「亡命政府の受け入れを許可する」というルールを持つ派閥の指導者である必要があります。メキシコが作成できるヒスパニック同盟とボリバル同盟の両派閥は、ヒスパニック諸国のみが参加を許可されます。歴史的にヒスパニック諸国が降伏することはないため、このルールを解除するにはイニシアチブポイントを獲得するか、あるいは現実政治を選択して独自の派閥を作成する必要があります。亡命政府受け入れを許可するルールを追加することを忘れないでください。

現実政治へ移行し、「自由の砦」派閥を創設します。最初のイニシアチブポイントを使い、自派閥が亡命政府を受け入れることを許可する。フィンランドを保証する。冬戦争が始まるのを待ち、参戦要請を受け入れる。関係を改善し、フィンランドにアタッシェを派遣する。距離があるにもかかわらず、十分な関係があれば彼らを自派閥に招待できるはずだ。迅速に招待することが重要である。なぜなら、派閥に属していない場合、彼らはソ連と白和平を結ぶからだ。彼らが降伏すると、実績を獲得できる。",

The New Home of the Revolution,革命の新居,MEX,Hard,MtG,メキシコで、トロツキーを国家指導者とし、ソビエト連邦を傀儡にする。,「トロツキーの亡命」イベントでトロツキーを招待する選択をする。フォーカスツリーの最右側を進み、共産主義者となりトロツキーを指導者に据える。「官僚打倒」フォーカス経由でソビエト連邦に対するドイツの戦争に参加する。戦功を獲得するには、ドイツに軍事アクセスを要請し、自軍をドイツの前線に配置する。あるいは、ソビエト極東戦線への海上侵攻を試み、勝利ポイント州を数箇所占領する。平和会議ではソビエト連邦を傀儡化する。,,

Assuming Direct Control,僭主国支配,,Medium,MtG,中小国（7大国＋中華民国以外の国家）で、連合国・枢軸国・コミンテルンいずれかの盟主になる。 ,ルーマニアとしてプレイし、バルカン支配ルートを進む。軍隊と産業に注力し、ハンガリーとブルガリアを制圧することで、可能な限り国力を高める。枢軸国に加盟するが、彼らの戦争には決して参加しない。彼らが敗北した時、あなたが指導者となり、実績を獲得する。,,

Vive la Jeune Ecole,ジューヌ・エコール万歳,FRA,Easy,MtG,フランスで、1945年になる前に、駆逐艦150隻と現代的魚雷発射管技術を手に入れる。,"ジューヌ・エコールは、19世紀フランス海軍で提唱された戦略構想。
大艦巨砲主義の対極に位置し、小型艦艇で戦艦に対抗するというもの。なお結果は",国家再生の道を進みファシスト化せよ。枢軸国に加盟するが戦争には参加せず、研究を現代艦艇魚雷発射管　現代艦艇魚雷発射管へ急ぐ。可能な限り多くの海軍造船所を建設すること。研究・建造速度・造船所生産量を向上させるフォーカスを選択せよ。利用可能な全造船所を駆逐艦生産に割り当てる。,

30 Minutes of Hel,地獄の30分間,POL,Insane,MtG,1939年シナリオのポーランドで始め、ドイツに1.80Mの死傷者を負わせる。,パラドックス社の公式イベントである、PDXCON2018のHoI4チャレンジで挑戦者が30分で出した記録、なおそれより早く出来たら更に自慢していい模様。,,https://hoi4.paradoxwikis.com/30_Minutes_of_Hel

Pride and Extreme Prejudice,高慢と偏見,,Medium,MtG,イギリス以外の国家で、イギリスの海軍の誇りを撃沈する。,"『高慢と偏見（Pride and Prejudice）』はイギリスの長編小説。
""Extreme Prejudice""の元になった""Terminate with extreme prejudice""は米陸軍特殊部隊の隠語。司法用語の「（懲戒解雇ではない、会社都合の）予断なき解雇（Terminate without prejudice）」の逆で「極めて予断に満ちた解雇」、すなわち「お前が悪いから処刑する」という意味。ベトナム戦争中にとあるベトナム人協力者の二重スパイが発覚した際、裁判はおろか軍法会議でも死刑にできないため、この言葉による指令で暗殺処分が下された。この組織的な私刑殺人が戦後に「グリーンベレー事件」として問題化して隠語も公となり、映画『地獄の黙示録』で使われて有名になった。
両者を合わせた""Pride and Extreme Prejudice""は、イギリスで放映されたテレビ映画のタイトル。フレデリック・フォーサイス原作のスパイ・スリラー。",日本同様に迅速に実行可能である。日本艦隊は適切に運用されれば、HMSフッドのみならず英国海軍全体を即座に撃沈できる。可能な限り早期に「皇道派粛清」を選択し、英国（または英領マラヤ）旗を掲げて正当化せよ。ドイツにドッキング権を要請し、全艦隊を英国最寄りのドイツ港へ移動させる。主力艦隊を攻撃部隊とし、3つの駆逐艦グループで英国周辺海域を警戒させる。可能であれば、追加火力として海軍爆撃機も投入せよ。正当化が完了したら、ドイツに宣戦布告する。ドイツから枢軸国への参加を要請された場合は、その飛行場を利用するため承諾すべきだ。その後は、艦隊がフッドを撃沈し実績を解除するまで、英国軍を撃破し続け、新艦艇と爆撃機を建造し続けよ（必要なら燃料用石油を輸入せよ）。,

Do You Mined?,機雷はお嫌い？,,Very Easy,MtG,いずれかの国で、敵国の沿岸に999個の機雷を敷設する。,mine（機雷）と掛けている。,イタリアとして、エリトリア（550）またはソマリランド（559）から部隊を撤退させよ（効率最大化のため港湾は保持）。初期海軍でエチオピア沿岸に機雷を敷設し、1000個に達するまで継続せよ。ただし、全領土を失った場合、エチオピアとは白紙和平を結ぶことになる。,

BFFs,ズッ友だょ。,POR,Very Easy,LaR,ポルトガルで、イギリスと同じ陣営に入る。,海外で使われる「best friends forever」の略,民主主義を選択し、世界の緊張が高まるのを待つだけだ。ラ・レジスタンスが有効化されれば、連合国への参加も急ぐことができる。,

"Go Ahead, Macau My Day",やれよ、楽しマカオ,POR,Very Hard,LaR,ポルトガルで、マカオに協力政府を樹立し、中国のすべてのステートを保有させる。,"ダーティハリー4の名台詞の一つ「Go ahead, Make my day」(さあ撃てよ、望むところだorさあ、やれよ、できるもんならな)のもじり。",注：この実績は、香港（326）と広州湾（728）を和平協定で占領する必要がある。,"https://hoi4.paradoxwikis.com/Go_Ahead,_Macau_My_Day"

"Play It, Sam",サム、あれを弾いて。,,Very Easy,LaR,カサブランカに50%以上の諜報網を持つ。,"1942年製作のアメリカ映画「カサブランカ」のセリフで「アメリカ映画の名セリフベスト100」にも選ばれた「Play it, Sam. Play ""As Time Goes By"".」が元ネタ。",ゲーム開始時、機関を設立し、工作員をカサブランカ（461）で「スパイネットワーク構築」任務に配置する。ネットワーク強度が50%を超えると実績が解除される。最初の工作員を募集次第実行可能だが、同一地域でのネットワーク構築に割り当てる工作員が多いほど、ネットワークが最大強度に達する速度は速くなる。,

Spies Trade,諜報員貿易,RAJ,Very Easy,LaR,インドで、連合国の諜報活動主導国（spymaster）になる,インドの特産品Spices(香辛料)とSpy(スパイ)を掛けたものだと思われる,ドミニオンへの自立度を高めよ。同時に諜報機関を創設し、任意のアップグレードで3回強化せよ。ドミニオンとなった時点で、ウィンドウ上部の機関名とアイコン横に「諜報長官になる」オプションが表示される。AIは常に承諾する。,

Why Die For Danzig?,なぜダンツィヒのために死ななければならないのか,GER,Medium,LaR,ドイツで、フランスと戦争をすることなくフランスをファシスト化させダンツィヒを支配する。,同名のロード中名言にもあるフランスの反戦スローガン「なぜダンツィヒのために死ななければならないのか」。,"ゲーム開始時からフランスでファシズムを強化し、その後スロバキアのダンツィヒ占領を達成すれば、フランス国旗フランスと交戦せずにダンツィヒ(85)を支配できる。ダンツィヒ(85)獲得時点でフランスが転向していない場合、フランスでファシストクーデターを開始せよ。クーデターが発動した瞬間に実績が解除される。
注記: ドイツがフランスに宣戦布告すると「invalid_for_danzig_achievement」フラグが発動します。ただし、イタリアが宣戦し参戦要請してきた場合など、第三国として参戦する手段は残されています。",

I SEE EVERYTHING,まるっとお見通しだ！,多分 ,Very Easy,LaR,暗号解読を使わずにひとつの大国に対してすべてのカテゴリーで90%を超える機密情報を得る。,"海外のインターネットミームの一つ。
日本だと、ふたばのバックベアード様みたいな感じだろうか。（ただ原義と離れすぎるので訳語には採用しない）",実績が解除されるためには、復号が完了または破られてはいけません。ただし、プレイヤーがそれを選択し30日間待機すれば、実績は解除されます。,

"Shaken, Not Stirred",マティーニを。ステアせずシェイクして。,,Very Easy,LaR,誘惑者（Seducer）の特性を持つスパイを使っていずれかの国家でクーデターを成功させる。,007ジェームズ・ボンドのマティーニカクテルの好みの発言。,非同盟国として開始し、誘惑者特性のスパイを獲得する。東インド（オランダ領東インド）が最も容易な標的である。開始時点で非同盟国からの人気が高く、スパイ機関を構築するのは後になるためだ。,

"Listen Very Carefully, I Shall Say This...",よく聞きなさい、1度しか言わないわよ。,,Very Easy,LaR,フランス人スパイとイギリス人スパイをひとつの作戦に従事させる。,"イギリスドラマ 「'Allo 'Allo!」に登場するフランス人レジスタンス活動家ミシェル・デュボワのセリフが元ネタ。
主人公レネとの初対面時、名を名乗ってから上記のセリフを言ったが聞き返されてしまう。
タイトルにも表れているが、登場人物が母語訛りの激しい英語を話すため意思疎通がとれないところもこのドラマの面白さのひとつ。",操作完了時にチェックが行われる。参加する工作員のうち少なくとも1名はフランス国籍を必要とし、少なくとも1名は英国国籍を必要とする。,

"Man of a Thousand Faces, Every One the Same",千の同じ顔を持つ男,,Very Easy,LaR,同じスパイが2回拘束される（したがって救助に成功する必要がある）。,"元ネタは枢軸国占領下のフランスを舞台としたイギリスの連続テレビドラマ 「'Allo 'Allo!」に出てくるレジスタンス活動家のムッシュー・ロジェ・ルクレール。自称、変装の達人。
彼の初登場は、シーズン1の初回、刑務所から抜け出す話だった。ところが、シリーズの途中で演じる俳優が亡くなったため、再び刑務所に戻ったという設定にされ以降登場しない。つまり、彼は2回拘束されたということになる。",ソビエト連邦は工作員の捕獲確率が最も高いため、工作員スロットを増設し全員をソビエト連邦へ派遣せよ。工作員が捕獲されたら救出し、再びソビエト連邦へ送還する。再度捕獲された時点で実績が解除される。,

Turing Complete!,チューリング完全,ENG,Very Easy,LaR,枢軸国の全国家に対して完全に暗号解読する。,"計算理論や情報工学において、ある計算のメカニズムが万能チューリングマシンと同じ計算能力をもつとき、その計算モデルは""チューリング完全""（チューリングかんぜん、Turing-complete）あるいは計算完備であるという。
上記のチューリングマシン理論の提唱者にしてエニグマ暗号の解読で著名なイギリスの学者アラン・チューリングが元ネタ。Hoi4でもイギリス政治顧問の「偉大な暗号解読者」として登場している。
身近な例だと、現代の一般的なプログラミング言語はチューリング完全である。ポケモン赤はチューリング完全ではないが、ポケモン黄はバグを利用するとプログラムを自由に書き換えることができるためチューリング完全と言える。",ゲーム開始時に諜報機関を作成し、暗号解読技術を全て解放してください。解読が必要なのはドイツのみです。彼らは枢軸国唯一の加盟国だからです。,

"One King, Two Crowns",1人の王、2つの王冠,SPR,Very Hard,LaR,ブルボン朝スペインで、スペインとフランスのすべての中核州を保有する。,"1つのxxx、2つのxxxという言い回しは多い。
一国二制度（現代中国と香港）、1つの国家、2つの言語、3つの宗教...7つの国境（ユーゴスラビア）など。
ブルボン家は元々フランス王家であったがスペイン継承戦争の結果スペイン王家にもブルボン家（スペイン・ブルボン家）が就くことになった。",,"https://hoi4.paradoxwikis.com/One_King,_Two_Crowns"

We Will Rock You,ウィ・ウィル・ロック・ユー,SPR,Medium,LaR,スペインで、ジブラルタルを保有する。,世界的に人気で、日本でも有名なイギリスのロックバンド、クイーンの同名の楽曲。なお、ジブラルタルにはThe Rockと呼ばれる大きな石灰岩が存在するため、こちらのRockと曲のRockをかけたものだと思われる。,歴史AIを無効化してください。イギリスが「植民地政策の再検討」分岐を選択した場合、その焦点ツリーに含まれる「係争地域からの撤退」焦点により、ジブラルタル（118）がスペインに無償で譲渡され、スペインのコア州となる可能性があります。内戦中にこの状況が発生した場合、ジブラルタル（118）はプレイヤーのスペインには譲渡されませんが、内戦勝利後に移管されます。,

"Well, I Didn’t Vote for You",えっ、投票してないのに？,SPR,Medium,LaR,無政府主義者でスペイン内戦に勝利する。,"元ネタは1975年にモンティ・パイソンによって制作されたアーサー王伝説のパロディ映画、「モンティ・パイソン・アンド・ホーリー・グレイル」
我こそがブリトン人の王であると主張するアーサー王に向かって、やたら知的で民主主義的なブリトン農民がアーサー王に向かって放った言葉。","アナキスト・スペインは「我らの運命の支配者」の焦点か「政府弾圧」イベントから成立する。

ゲーム開始時はバレンシアに軍事工場を建設することに注力せよ。アナキスト蜂起が発生した時点でバレンシアを支配していれば、その支配権を獲得できる。カルリスト反乱で国民軍が弱体化しているとより容易です。これは北部州（アストゥリアスとバスク地方）を可能な限り長く支配下に置くことで達成できます。非歴史的なシナリオでは、単に反乱発生を防ぐためのフォーカス選択順序を誤る場合もあります。",

Our Chief Weapon is Surprise...,我らの武器は、突然の登場！ ,SPR,Medium,LaR,スペインで、5人以上のスパイを持ち、他国に対して5回クーデターを行う。,こちらもモンティ・パイソンのスケッチ「スペイン宗教裁判」が元ネタ。「our chief weapon is surprise...（我らの武器は唐突）」から言い直すたびに武器が増えていき、最終的に「恐怖、唐突、脅迫、教皇への狂信、赤い服」の5つになる。,十分なスパイ枠を確保するため、多数のメンバーを抱える主要な派閥に参加しましょう。派閥間の戦争には参加せず、全ての国との交易を継続できるようにしてください。スパイ活動に集中することで、スパイネットワークをより迅速に構築し、クーデターをより頻繁に実行できるようになります。,

"Die, Perfidious Albion!",パーフィディアス・アルビオン,FRA,Hard,LaR,ファシスト・フランスかヴィシーフランスで、イギリス全土を占領する。,"パーフィディアスはラテン語で不信仰・不誠実の意。アルビオンはイギリスの古称。
三枚舌外交に対する批判の意を込めた、イギリスへの軽蔑的な呼称である。
現代日本語的に言うと「このブリカスめ！」といった感じだろうか。",ファシストの焦点を急いで進めよ。連盟利用を獲得すると、ファシストおよび非同盟国への支持率向上決定が利用可能となる。ファシスト扇動家を雇い、「連盟結集」決定を連発せよ。「ラ・カグールの解放」決定は決して選択するな。ファシストと非同盟国の支持率合計が50%に達したら、ファシストの焦点を継続して進めよ。内戦発生の確率を排除するため、政治統一の重点を可能な限り早期に取得せよ。その後、スエズ運河への拡大を急ぐ。直ちに英国に宣戦布告し併合せよ。初期軍は英国を容易に殲滅できる戦力を有している。,

Second Time’s the Charm,二度目の正直,FRA,Easy,LaR,フランスで、ナポレオン6世が国家元首のときにモスクワを占領する。,"海外版「三度目の正直」を意味する""third time's the charm""の捩り。1812年ロシア戦役でナポレオンらがモスクワに侵攻し、敗北、退却したのが元ネタか。",第三帝国宣言の目標を急いで達成し、ナポレオン6世を獲得せよ。ドイツがポーランドに宣戦布告するまで待機し、その後イギリスに宣戦布告する。ドイツ陣営への参加要請を受け入れる。初期の陸軍と海軍でイギリスを撃破可能だ。和平会議で併合せよ。ソ連がフィンランドへの戦争目的を正当化し始めたら、フィンランドを保証せよ。戦いの呼びかけを受け入れ、残る枢軸国を招集せよ。これによりソビエト連邦が「大祖国戦争」バフを得られなくなるため、戦況は有利になる。十分な戦功を獲得後、同盟国にモスクワ（219）の支配権を要求せよ。,

Don’t Die for Your Country,国のために死ぬな,,Insane,LaR,1939年のドイツで、475人より多くの被害を出さずにポーランドとフランスの全土を占領する。空挺部隊の使用は許されない。,"PDXCON2019のチャレンジより。なお開発者日記の質疑応答でQ「(こんな普通にやれば不可能な条件を実績にするなんて、よっぽどの神プレイかAIが弱すぎるかの両極端なことになってるわけだから)これゲームの大きな欠点だよね?」A「同意する、だから今後修正されるかもしれない。」とのこと
元ネタはパットン将軍の言葉「The object of war is not to die for your country but to make the other bastard die for his.(戦争の目的は、国のために死ぬことではなく、他のろくでなしを死なせることだ。)」 
ただ、平時の状態であれば、なんと犠牲者が0という判定になるため、普通に連合を倒し、フランスとポーランドを併合し、M&R協定でソ連に明け渡した土地を取り返して講和すれば、実績が解除できてしまう!!
当然意図していない設定であり、ちゃんと真正面からクリアすることが可能。 ",注：パラシュート降下部隊は国旗「has_paradropped_flag」を設定し、これによりこの実績が解除されなくなります。,"Note: Paradropping troops sets country flag ""has_paradropped_flag"" which prevents this achievement. "

"Warszawo, Walcz!",ワルシャワは戦う！,,Easy,LaR,ワルシャワ蜂起を行い、成功させる。,"「Warszawo, walcz!」はワルシャワ蜂起の際に使われたポーランド語の標語。",ソビエト連邦としてゲームを開始し、ポーランドへの宣戦布告を正当化して発動し、トゥヴァ・タンヌ・トゥヴァを戦争に招き入れる。ポーランドを降伏させた後、全てのポーランド州を彼らに与える。彼らを自陣営から追放し、彼らに対する戦争目標を正当化する。宣戦布告するが、降伏させないこと。彼らは抵抗を適切に鎮圧する手段を持たないため、ポーランド国内の抵抗が90に達するまで待機すればよい。,

Tour de France,ツール・ド・フランス,,Easy,LaR,"完全充足の自転車連隊（注：大隊？）20個以上を保有した状態で、フランス全土を占領する。
実際はスクリプト(プログラム)の記述ミスで22個大隊必要。 ",毎年7月にフランスおよび周辺国を舞台にして行われる同名の自転車ロードレースがある。日本語のカタカナ表記ではツール・ド・フランスで御馴染か。,注：フランス本土にはコルシカ島（1）が含まれます。,https://hoi4.paradoxwikis.com/Tour_de_France

You Will Never Kill Me Alive,殺されるもんですか,,Very Easy,LaR,スパイの一人に自殺ピルを飲ませる。,"英語の常套句である""You'll never take me alive.""の捩りか。
原文の表現を若干直訳気味に言うと「私を生きたまま捕まえることは出来ない」、転じて「私を捕まえたいなら、殺すしかないよ」の意。
自殺すれば殺せない。至極当然の話ではある。",諜報機関を設立し、必ず「自殺用薬丸」のアップグレードを入手すること。工作員を任務に送り続け、あるいは単に他国（できればソビエト連邦）で「情報ネットワーク構築」などの様々な活動を行わせる。やがて工作員の一人が死亡し、実績が解除される。,

Finnish Him!,ぎゃフィンと言わせてやる,FIN,Hard,BftB,フィンランドで、陣営に入らずソ連を打ち負かす。そしてモスクワを占領しながら15%の戦争協力度を得る事。,"「finish」と「Finnish（フィンランド人）」をかけている。
「finish him」は「奴にトドメを刺せ」「やっちまえ」的な意味。
つまり「陣営に一度も所属せず、フィンランドでモスクワを占領し、ソビエトを降伏させる」ということ。そのためドイツ参戦までに包囲殲滅や戦略爆撃などでどこまで点数を稼げるかの勝負",,

I Captured the Bosporus and All I Got Was This Lousy Achievement,ボスポラス海峡まで占領した結果がこれだよ！！,GRE / BUL / TUR,Easy,BftB,ギリシャまたはブルガリアで、ボスポラス海峡の両側を所有する。トルコとして、ギリシャとブルガリアの両方を征服する。,"「I xxxx（私はｘｘｘをやったが）and all I got was this xxxx（ｘｘｘしか得られなかった）」という海外のミーム。
このミームのプリントTシャツが流行ったらしい。（実績のアイコンからも分かる）",,

Istanbul is Constantinople. Again.,イスタンブール・イズ・コンスタンティノープル,GRE,Easy,BftB,ギリシャで、イスタンブールを獲得しコンスタンティノープルに改名する。,"50年代アメリカのノベルティソング「Istanbul (Not Constantinople)」が元ネタ。ロックバンドThey Might Be Giantsのカバーは日本でも有名か。
歌い出しの特徴的な「Istanbul was Constantinople...」というフレーズは、Youtubeなど現代のネット文化でも流行した。","「メガリ・イデアの復活」によるギリシャの焦点は、イスタンブール（797）を獲得するトルコとの戦争を可能にする。単にイギリス、フランス、イタリアを招き入れ、彼ら全員に譲歩を約束すればよい。そのうちの一部は戦争に参加し、必要な領土を譲渡してくれる。
注：英国やフランスがトルコ分割に合意していても、あなたが宣戦布告すると単独で離脱する可能性があります。この実績は「ビザンツ帝国復興」「ビザンツ帝国再興」「大ギリシャ形成」の3つの決定を実行することで獲得できます。注2：少なくともバージョン1.16時点では、フランスも英国も戦争支持率が20%以上でなければ会議に出席しません。したがって「メガリ・イデア」の焦点開発を急ぎイベントを早期に発動させると、会議自体が成立しません。また「EEEとの交渉」イベント発生時にファシスト勢力との協力を選択した場合も、彼らの参加はほぼ不可能となります。この焦点を回避し、「恐怖と戦慄」に移行すれば、トルコ単独への宣戦が可能となる。トルコは常備軍規模で優位にある上、この時点ではルーマニアの保証国となっているため困難を極めるが、達成は可能だ。（ただし比較的迅速に実行する必要がある：会議が失敗すると、英国は1939年3月までにトルコを保証する傾向があり、ルーマニアは運が良ければ1940年半ばに枢軸国に、運が悪ければ1939年9月に連合国に加盟する。）このルートを進む場合、トルコに挑む前にブルガリアを傀儡化しておくと有利である。                                                                                           ",

Peter’s Pride,ペータルの誇り,YUG,Very Easy,BftB,ペータル2世のユーゴスラビアで、叔父を追放して国王になる。,"おじとは初期元首の摂政のパヴレのこと。
元ネタは聖書。「ペテロ（英語読みピーター、スラブ語読みペータル）」がイエス・キリストの十二使徒の筆頭格であることは言わずもがな。
「ペテロ」とはもともとイエスの付けた渾名であり、ヘブライ語で「岩」、つまり頑固者という意味。ペテロの自信に満ちた誇り高き（プライドが高い）人格を物語っている。",単に下へ進み、ピーターを統治者に据えるフォーカス（例：摂政の終結）を達成すればよい。歴史AIでは、フォーカスを達成する前に攻撃されることはない。,

This is Madness!,これは狂気だ！,GRE,Easy,BftB,ギリシャで、メガリ・イデアを実現し大ギリシャを建国する。,"映画『300 〈スリーハンドレッド〉』で降伏を拒否したスパルタのレオニダスに対するペルシア使者のセリフ。この直後「This is Sparta!(これがスパルタだ！)」のセリフと共にレオニダスに蹴り落される。
本作の印象的なシーンではあるが海外では「This is Sparta!」は印象的を通り越してネットミームと化している。
実績のマークも『300』でレオニダスを演じるジェラルド・バトラーの顔が使われている。(肖像権は問題無いのだろうか?)","メガリ・イデアは、貴国と英国、フランスがトルコ攻撃と分割に合意し、和平協定で必要な領土を保証される構想である。英国とフランスは、会議で合意していても、トルコ攻撃のフォーカスを達成した時点で単独で戦争から離脱する可能性がある点に留意されたい。ただし、いずれか一国と組めばトルコを容易に撃破でき、単独でも勝利は可能である（「イスタンブールはコンスタンティノープル。再び。」の注記も参照）。

大ギリシャ建国の決定は、以下のいずれかの方法で解除される：・指導者がゲオルギオス・コスミディスでない状態で「ネニキカメン」目標を達成する・「近代化運動」目標を達成し、国家指導者にイオアニス・メタクサスを選択する・「大反ファシスト戦争準備」目標を達成する ",

Nobody’s Business but the Turks,それはトルコの仕業なのさ,TUR,Very Easy,BftB,オスマン・スルタン国を復興する。,"これもノベルティソング「Istanbul (Not Constantinople)」が元ネタ。
「That's nobody's business but the Turks」は歌の最後のフレーズ。
ちなみに直前の歌詞は「Why did Constantinople get the works（なぜコンスタンティノープルはこんな目にあったのか？）」である。",焦点に到達するには、小さな内戦に勝つ必要があるだけだ。,

House of Kurds,クルド人の家,Kurdistan,Medium,BftB,クルディスタンで、すべての中核州を支配する。,"エジプト以来の構成国/植民地の実績。
国家を持たないクルド人問題は、元を辿るとセーヴル条約でのクルディスタン建国が、列強各国によって反故にされた事まで遡る。
現実にも同名の組織がある。","注：ボスポラス海峡の戦いが有効な場合、トルコ、シリア、イラン、イラクはクルディスタンを解放できません。この実績は現在（パッチ1.16.5）、帝国墓地を有効にした状態でイラクの焦点ツリーにおいて「クルド人アイデンティティの促進」ルートを選択することで達成可能となりました。

1.16.9時点では、おそらくバグのため、この実績はマラティヤ（344）の支配を要求しますが、これは単なる領有権主張に過ぎず、クルディスタンのコアの一つであるモスル（676）は要求されません。そのため、必要な州を全て占領してクルディスタンを解放しようとしても、実績は解除されません。実績を獲得するにはトルコと交戦し、マラティヤを制圧する必要があります。",https://hoi4.paradoxwikis.com/House_of_Kurds

Hellenic Civility,ヘレネス流の礼儀,GRE,Very Easy,BftB,1937年までにギリシャ内戦に勝利する。,"ヘレネスとはギリシャ人の自称で、ギリシャ（英通称：Greece）も公式名称は「Hellenic Republic」である。
古代ギリシャ人は自らをヘレネス（英雄ヘレンの子）と称し、異民族であるバルバロイ（蛮人）と区別した一方で、都市国家間（つまりヘレネス同士）の戦争も絶えなかった。
この「誇り高い民族意識」と「民族内部の対立意識」の矛盾・混沌こそがヘレネスの流儀、秩序なのである。
なお史実では1946年から1949年に右派政府と共産系パルチザンが内戦をしていた。","内戦が始まる前に、すべての陸軍ユニットを削除し、訓練中の騎兵師団を1個編成する。内戦開始後、これをアテネに展開し、すべての勝利ポイントを獲得して内戦を迅速に終結させる。必要に応じてクレタ島（182）に海上侵攻を行う。
『Battle for the Bosporus』では、国王を逮捕せず『統治権』ルートを進むことで内戦を引き起こせる。『Battle for the Bosporus』がない場合、政党支持率メカニズムで手動で内戦を引き起こす必要がある。
内戦開始のタイマーがあるため、「王室警護隊の再編成」フォーカスを内戦開始の1日後に完了するように調整可能。事前に全ユニットを削除しておけば、フォーカスで得られる2ユニットで即座に内戦に勝利できる。",

Hoofin’ It,フーフィン,,Very Easy,BftB,ラクダ騎兵30個師団を持った状態でアラビアを統一する。,「Hoofing(it)」は「歩いていく、踊る」などを意味するイディオム。「hoof」の原義はらくだや馬の蹄のこと。,"どの国でも、ラクダ部隊さえあればこれを行うことができます。

最も容易なのは連合王国（イギリス）です。必要な領土はサウジアラビア、オマーン、イエメンを除く全てを既に支配下にあるためです。国王党路線を選択し、半島内の3つの独立国家を併合する正当化理由を確立します。ラクダ部隊のテンプレートを作成し、30個編成します。ゲーム開始時にラクダは使用可能ですが、テンプレートは自身で作成する必要があります。注意： 領土は直接支配下にある必要がある（傀儡政権経由や単なる占領状態では不可）。オマーンの自治権を削減して併合する必要がある（これは容易）。また、1936年に英領インド帝国がアデンを引き渡していない場合、帝国自体も併合しなければならない（これはより困難である。国王党が独立への道を設定し、大幅な日次自治権増加効果を与えるため）。",

We’re Putting the Band Back Together,俺たちはバンドを再結成するんだ,TUR,Medium,BftB,トルコで、ドイツ・オーストリア＝ハンガリーと同じ陣営に加盟する。,"映画「The Blues Brothers」のセリフ。ネットミームになっている。
なお実績の画像がトルコの「アブデュルメジト2世」、オーストリア＝ハンガリーの「オットー・フォン・ハプスブルク」、ドイツの「ヴィルヘルム3世」となっている。(あれヴィルヘルム2世さん…?)",,https://hoi4.paradoxwikis.com/We%E2%80%99re_Putting_the_Band_Back_Together

